Graph:
uk.ac.bris.cs.scotlandyard.model.a@5bda7956 -> uk.ac.bris.cs.scotlandyard.model.a@45e539f8 [Value: TAXI(WHITE@53, 54)]
uk.ac.bris.cs.scotlandyard.model.a@5bda7956 -> uk.ac.bris.cs.scotlandyard.model.a@579babc4 [Value: TAXI(WHITE@53, 69)]
uk.ac.bris.cs.scotlandyard.model.a@5bda7956 -> uk.ac.bris.cs.scotlandyard.model.a@748c66d3 [Value: TAXI(WHITE@53, 40)]
uk.ac.bris.cs.scotlandyard.model.a@579babc4 -> uk.ac.bris.cs.scotlandyard.model.a@47db014 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@579babc4 -> uk.ac.bris.cs.scotlandyard.model.a@122e29e4 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@579babc4 -> uk.ac.bris.cs.scotlandyard.model.a@62a36d7 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@579babc4 -> uk.ac.bris.cs.scotlandyard.model.a@3064d433 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@579babc4 -> uk.ac.bris.cs.scotlandyard.model.a@eb2ef8d [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@45e539f8 -> uk.ac.bris.cs.scotlandyard.model.a@56a4f095 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@45e539f8 -> uk.ac.bris.cs.scotlandyard.model.a@35a69ecc [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@45e539f8 -> uk.ac.bris.cs.scotlandyard.model.a@3ae22940 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@45e539f8 -> uk.ac.bris.cs.scotlandyard.model.a@5c32784e [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@45e539f8 -> uk.ac.bris.cs.scotlandyard.model.a@75ddd65a [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@748c66d3 -> uk.ac.bris.cs.scotlandyard.model.a@352aedca [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@748c66d3 -> uk.ac.bris.cs.scotlandyard.model.a@5dd008f [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@748c66d3 -> uk.ac.bris.cs.scotlandyard.model.a@2e5e915d [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@748c66d3 -> uk.ac.bris.cs.scotlandyard.model.a@2207bf42 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@748c66d3 -> uk.ac.bris.cs.scotlandyard.model.a@4fb31af5 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@153dbe27 -> uk.ac.bris.cs.scotlandyard.model.a@779b45f7 [Value: TAXI(WHITE@53, 69)]
uk.ac.bris.cs.scotlandyard.model.a@153dbe27 -> uk.ac.bris.cs.scotlandyard.model.a@23c7b8cd [Value: TAXI(WHITE@53, 54)]
uk.ac.bris.cs.scotlandyard.model.a@153dbe27 -> uk.ac.bris.cs.scotlandyard.model.a@506be840 [Value: TAXI(WHITE@53, 40)]
uk.ac.bris.cs.scotlandyard.model.a@779b45f7 -> uk.ac.bris.cs.scotlandyard.model.a@687909e9 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@779b45f7 -> uk.ac.bris.cs.scotlandyard.model.a@4a71b4e8 [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@779b45f7 -> uk.ac.bris.cs.scotlandyard.model.a@3fcac2a1 [Value: TAXI(YELLOW@91, 72)]
uk.ac.bris.cs.scotlandyard.model.a@779b45f7 -> uk.ac.bris.cs.scotlandyard.model.a@6a67de0c [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@779b45f7 -> uk.ac.bris.cs.scotlandyard.model.a@47fe8ff9 [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@23c7b8cd -> uk.ac.bris.cs.scotlandyard.model.a@443651b7 [Value: TAXI(YELLOW@91, 56)]
uk.ac.bris.cs.scotlandyard.model.a@23c7b8cd -> uk.ac.bris.cs.scotlandyard.model.a@3a77b2d [Value: TAXI(YELLOW@91, 105)]
uk.ac.bris.cs.scotlandyard.model.a@23c7b8cd -> uk.ac.bris.cs.scotlandyard.model.a@1d38aa44 [Value: TAXI(YELLOW@91, 90)]
uk.ac.bris.cs.scotlandyard.model.a@23c7b8cd -> uk.ac.bris.cs.scotlandyard.model.a@2626aeda [Value: TAXI(YELLOW@91, 107)]
uk.ac.bris.cs.scotlandyard.model.a@23c7b8cd -> uk.ac.bris.cs.scotlandyard.model.a@10756a0b [Value: TAXI(YELLOW@91, 72)]
